clip_id,gt_ball_frames,kalman_available_frames,kalman_coverage_percent,kalman_mean_error_px,kalman_median_error_px,kalman_error_under_25px_percent,kalman_error_under_50px_percent
SNMOT-060,734,571,77.79291553133515,250.51049023143,24.806593405769338,50.26269702276708,61.99649737302977
SNMOT-061,732,562,76.775956284153,451.0533957719681,119.57924132014416,26.15658362989324,37.18861209964413
SNMOT-062,750,56,7.466666666666668,225.0198259570562,56.40330084994011,39.285714285714285,50.0
SNMOT-063,750,52,6.933333333333333,51.1141769991256,50.23075702401256,15.384615384615383,50.0
SNMOT-064,590,45,7.627118644067797,28.996347151645065,28.24031217162217,42.22222222222222,86.66666666666667
